[UDP] SrcIP=172.16.1.190, SrcPort=54579, DstIP=142.251.12.104, DstPort=443, Protocol=UDP
[UDP] SrcIP=172.16.1.190, SrcPort=54579, DstIP=142.251.12.104, DstPort=443, Protocol=UDP
[UDP] SrcIP=142.251.12.104, SrcPort=443, DstIP=172.16.1.190, DstPort=54579, Protocol=UDP
[UDP] SrcIP=142.251.12.104, SrcPort=443, DstIP=172.16.1.190, DstPort=54579, Protocol=UDP
[UDP] SrcIP=172.16.1.190, SrcPort=54579, DstIP=142.251.12.104, DstPort=443, Protocol=UDP
[UDP] SrcIP=142.251.12.104, SrcPort=443, DstIP=172.16.1.190, DstPort=54579, Protocol=UDP
[UDP] SrcIP=142.251.12.104, SrcPort=443, DstIP=172.16.1.190, DstPort=54579, Protocol=UDP
[UDP] SrcIP=142.251.12.104, SrcPort=443, DstIP=172.16.1.190, DstPort=54579, Protocol=UDP
[UDP] SrcIP=142.251.12.104, SrcPort=443, DstIP=172.16.1.190, DstPort=54579, Protocol=UDP
[UDP] SrcIP=142.251.12.104, SrcPort=443, DstIP=172.16.1.190, DstPort=54579, Protocol=UDP
[UDP] SrcIP=142.251.12.104, SrcPort=443, DstIP=172.16.1.190, DstPort=54579, Protocol=UDP
[UDP] SrcIP=172.16.1.190, SrcPort=54579, DstIP=142.251.12.104, DstPort=443, Protocol=UDP
[UDP] SrcIP=172.16.1.190, SrcPort=54579, DstIP=142.251.12.104, DstPort=443, Protocol=UDP
[UDP] SrcIP=142.251.12.104, SrcPort=443, DstIP=172.16.1.190, DstPort=54579, Protocol=UDP
[UDP] SrcIP=142.251.12.104, SrcPort=443, DstIP=172.16.1.190, DstPort=54579, Protocol=UDP
[UDP] SrcIP=142.251.12.104, SrcPort=443, DstIP=172.16.1.190, DstPort=54579, Protocol=UDP
[UDP] SrcIP=142.251.12.104, SrcPort=443, DstIP=172.16.1.190, DstPort=54579, Protocol=UDP
